b,g,r,pele
50,88,136,1
180,177,133,2
156,129,109,2
62,120,185,1
53,56,24,2
112,147,221,1
164,162,114,2
191,190,152,2
86,84,30,2
121,159,213,1
140,164,230,1
191,192,150,2
207,215,255,1
178,175,130,2
189,177,135,2
108,111,166,1
171,187,234,1
166,170,111,2
204,202,168,2
179,178,134,2
199,199,163,2
114,146,212,1
118,150,221,1
144,133,103,2
56,21,232,2
187,186,165,2
65,67,25,2
69,157,127,2
39,40,6,2
171,178,241,1
99,130,191,1
4,2,2,2
173,187,236,1
140,143,97,2
52,95,144,1
181,181,133,2
134,138,89,2
112,214,209,2
150,192,255,1
65,121,176,1
199,197,162,2
197,123,67,2
128,167,219,1
155,195,254,1
64,124,183,1
112,149,209,1
191,190,152,2
181,178,134,2
140,180,245,1
112,140,171,1
135,172,222,1
166,179,231,1
146,163,226,1
80,88,128,1
242,233,229,2
138,140,88,2
66,67,23,2
167,168,118,2
111,149,203,1
199,197,162,2
228,212,206,2
70,79,123,1
128,128,128,2
236,193,160,2
68,70,28,2
159,178,235,1
129,170,219,1
123,158,222,1
131,135,93,2
149,190,253,1
82,90,130,1
124,162,216,1
183,183,137,2
183,182,138,2
76,113,193,1
172,186,228,1
18,18,12,2
191,188,143,2
17,14,0,2
124,127,182,1
204,214,254,1
144,166,231,1
165,171,124,2
157,155,121,2
58,122,186,1
165,181,234,1
195,193,152,2
189,198,248,1
195,195,155,2
247,197,191,2
80,81,31,2
152,151,100,2
177,177,129,2
109,125,192,1
129,167,215,1
173,188,234,1
147,156,219,1
147,156,224,1
109,113,166,1
130,132,90,2
181,178,134,2
179,180,136,2
102,77,245,2
174,176,140,2
68,70,24,2
54,55,21,2
150,149,158,2
122,154,219,1
73,76,27,2
82,118,188,1
147,184,252,1
164,162,114,2
177,174,129,2
178,175,131,2
119,118,60,2
81,90,128,1
180,177,132,2
181,178,134,2
3,20,6,2
49,67,130,1
187,185,151,2
170,184,237,1
96,145,225,1
154,153,97,2
140,177,227,1
176,174,126,2
76,111,185,1
116,111,72,2
177,175,127,2
158,191,236,1
165,179,232,1
56,102,166,1
121,121,67,2
80,89,127,1
143,145,93,2
57,59,23,2
162,162,114,2
147,168,229,1
43,88,139,1
139,142,93,2
26,30,25,2
186,185,141,2
116,149,218,1
195,194,156,2
105,104,46,2
83,85,33,2
154,158,123,2
199,197,163,2
181,178,133,2
168,165,114,2
69,128,190,1
135,177,224,1
159,195,255,1
174,172,124,2
141,140,82,2
56,113,175,1
113,150,210,1
58,59,19,2
149,152,106,2
148,188,253,1
172,171,121,2
149,176,232,1
186,185,141,2
201,199,164,2
156,174,235,1
76,84,124,1
224,153,85,2
168,184,231,1
187,185,145,2
76,81,126,1
198,196,161,2
52,109,170,1
156,178,236,1
149,187,251,1
40,77,43,2
54,58,22,2
26,90,68,2
201,151,205,2
96,132,186,1
42,92,152,1
109,108,52,2
18,14,3,2
133,160,227,1
206,214,254,1
144,143,87,2
57,59,23,2
23,21,3,2
34,34,4,2
95,135,188,1
149,187,251,1
128,166,224,1
92,88,147,2
241,206,173,2
172,168,120,2
131,174,225,1
59,58,44,2
111,153,218,1
115,230,245,2
67,68,24,2
200,198,167,2
172,171,121,2
134,160,227,1
145,170,234,1
177,174,129,2
151,145,200,1
146,145,89,2
18,15,1,2
198,198,158,2
198,198,158,2
119,151,210,1
97,74,58,2
166,182,225,1
158,157,107,2
113,147,201,1
108,146,200,1
52,53,19,2
114,149,212,1
48,48,36,2
165,165,117,2
14,10,9,2
115,155,208,1
166,180,233,1
161,162,122,2
240,225,223,2
63,121,187,1
104,101,56,2
176,174,126,2
155,157,111,2
160,165,120,2
192,190,150,2
91,138,212,1
52,94,141,1
78,86,126,1
189,186,148,2
112,152,210,1
132,159,226,1
106,104,50,2
60,126,191,1
248,252,253,2
34,33,7,2
55,95,143,1
188,186,145,2
66,120,181,1
140,175,219,1
159,172,224,1
105,157,224,1
142,144,92,2
113,115,169,1
107,113,166,1
48,23,203,2
107,93,105,2
130,160,215,1
122,174,37,2
70,92,128,1
51,105,158,1
54,126,106,2
52,100,164,1
224,194,93,2
164,163,113,2
158,162,127,2
175,173,125,2
182,179,135,2
101,108,163,1
186,174,132,2
140,140,86,2
59,119,185,1
18,18,12,2
137,140,94,2
158,177,222,1
139,130,250,2
56,117,181,1
207,216,254,1
52,95,144,1
154,160,119,2
146,187,250,1
143,150,205,1
53,94,143,1
138,174,234,1
200,198,163,2
177,174,129,2
65,68,23,2
167,171,135,2
62,84,136,1
248,250,250,2
53,56,17,2
70,80,120,1
145,184,253,1
102,146,223,1
144,183,252,1
143,142,86,2
126,166,218,1
119,74,83,2
201,199,164,2
112,156,217,1
141,142,92,2
57,59,23,2
35,34,8,2
140,140,86,2
198,198,158,2
140,158,223,1
171,185,237,1
91,67,245,2
0,137,105,2
104,108,56,2
75,75,27,2
107,110,165,1
64,63,29,2
118,150,216,1
57,125,192,1
205,204,170,2
120,158,212,1
165,165,117,2
45,98,155,1
61,126,194,1
131,131,185,1
52,53,19,2
66,123,185,1
18,8,192,2
132,135,86,2
68,122,185,1
173,170,125,2
121,150,217,1
16,19,0,2
55,103,155,1
55,56,16,2
104,255,232,2
159,176,227,1
24,28,16,2
44,94,154,1
200,198,163,2
162,199,255,1
158,195,255,1
145,134,102,2
138,138,90,2
135,139,192,1
53,57,22,2
77,78,34,2
46,35,21,2
2,2,0,2
81,91,38,2
131,142,132,2
128,167,219,1
109,149,207,1
154,152,194,2
178,179,129,2
97,87,103,2
153,164,226,1
77,87,127,1
172,171,121,2
46,48,12,2
13,13,7,2
113,116,171,1
199,198,164,2
11,11,5,2
209,190,185,2
90,94,59,2
150,188,252,1
140,139,81,2
161,158,113,2
170,171,131,2
80,94,130,1
54,105,167,1
33,34,8,2
164,162,114,2
171,170,119,2
148,186,250,1
124,159,225,1
183,182,138,2
156,192,252,1
166,183,239,1
118,153,221,1
54,55,21,2
126,167,216,1
96,92,39,2
167,163,114,2
178,194,240,1
174,174,126,2
105,111,164,1
51,106,157,1
89,125,201,1
189,211,255,1
41,92,155,1
121,153,219,1
177,174,129,2
159,167,226,1
198,198,158,2
175,173,125,2
199,210,254,1
153,157,116,2
104,108,159,1
78,87,131,1
65,64,14,2
178,177,116,2
104,105,49,2
43,95,155,1
153,191,255,1
172,169,124,2
58,106,172,1
197,196,162,2
57,55,20,2
90,143,223,1
121,115,120,2
142,144,92,2
3,3,9,2
95,143,215,1
114,116,170,1
102,103,47,2
195,195,155,2
94,139,220,1
188,186,146,2
167,163,114,2
6,7,3,2
55,96,141,1
61,117,172,1
106,141,214,1
164,163,112,2
117,116,60,2
140,179,224,1
82,93,131,1
167,174,229,1
155,193,255,1
2,0,1,2
58,99,148,1
165,180,229,1
179,177,129,2
64,64,46,2
73,83,123,1
203,201,170,2
167,163,114,2
39,40,6,2
141,163,229,1
181,180,136,2
57,105,169,1
168,184,237,1
66,136,203,1
118,161,212,1
115,150,218,1
145,157,221,1
175,176,134,2
170,181,233,1
53,53,53,2
55,56,22,2
172,93,174,2
106,146,228,1
89,90,56,2
65,61,12,2
84,134,224,1
52,96,143,1
161,188,244,1
142,182,247,1
124,130,95,2
193,193,153,2
251,243,196,2
145,180,243,1
198,196,162,2
77,80,34,2
192,191,153,2
82,116,186,1
89,91,39,2
122,154,220,1
182,178,137,2
177,163,151,2
201,199,164,2
110,113,168,1
183,180,136,2
125,160,224,1
148,188,247,1
147,167,232,1
2,0,1,2
163,197,255,1
20,17,3,2
181,179,121,2
156,158,112,2
149,148,97,2
105,152,226,1
36,84,150,1
134,137,92,2
179,176,132,2
178,178,132,2
159,195,255,1
163,180,223,1
170,169,119,2
255,0,128,2
23,42,33,2
74,103,140,1
182,179,135,2
170,184,232,1
156,159,114,2
62,124,188,1
117,116,58,2
130,131,92,2
100,149,219,1
255,0,128,2
55,56,22,2
53,112,181,1
121,153,219,1
123,163,216,1
90,140,200,1
161,165,130,2
133,166,222,1
143,142,86,2
167,182,231,1
165,164,114,2
8,12,7,2
117,152,220,1
104,144,216,1
150,166,219,1
96,145,219,1
54,55,21,2
2,0,8,2
203,200,162,2
224,203,202,2
178,192,244,1
164,198,255,1
54,55,21,2
19,17,6,2
116,133,189,1
43,62,123,1
153,162,129,2
40,90,150,1
201,200,162,2
198,120,173,2
139,173,227,1
114,153,215,1
79,89,129,1
50,96,160,1
114,91,255,2
179,176,132,2
158,195,255,1
142,179,223,1
115,143,184,1
125,126,87,2
145,187,254,1
80,86,39,2
204,203,169,2
150,162,226,1
44,90,137,1
127,83,89,2
40,100,154,1
49,107,159,1
162,178,224,1
179,176,132,2
159,162,123,2
55,56,22,2
177,185,244,1
157,194,255,1
157,174,231,1
51,53,17,2
44,93,139,1
153,192,254,1
52,103,159,1
124,161,219,1
203,212,255,1
122,164,229,1
168,170,118,2
186,184,150,2
182,179,135,2
160,185,229,1
122,160,214,1
29,64,44,2
56,60,18,2
30,32,3,2
255,255,255,2
160,175,224,1
198,207,251,1
238,221,81,2
144,137,150,2
147,187,252,1
161,198,255,1
255,128,0,2
166,187,249,1
178,175,130,2
29,26,12,2
126,165,220,1
20,17,2,2
181,178,134,2
134,136,137,2
137,138,88,2
90,130,202,1
112,155,218,1
29,26,5,2
183,183,137,2
52,56,20,2
156,176,231,1
119,122,177,1
157,161,126,2
57,121,185,1
136,139,90,2
82,94,134,1
54,105,168,1
181,176,137,2
101,103,57,2
45,99,159,1
71,76,31,2
31,32,6,2
160,198,255,1
222,211,203,2
100,147,221,1
129,128,94,2
123,156,225,1
155,193,255,1
198,196,162,2
211,222,255,1
92,184,235,2
120,156,216,1
208,217,255,1
128,255,255,2
126,133,190,1
68,62,17,2
173,172,122,2
138,177,221,1
55,96,145,1
88,158,118,2
168,108,169,2
102,153,216,1
103,154,224,1
74,77,28,2
31,30,20,2
172,183,233,1
61,121,191,1
57,98,147,1
51,103,150,1
199,197,162,2
93,98,147,1
182,178,137,2
186,202,191,2
62,65,33,2
171,186,235,1
80,87,126,1
101,143,202,1
97,146,222,1
71,107,177,1
38,66,53,2
178,175,131,2
192,191,153,2
75,83,123,1
135,176,225,1
162,179,235,1
45,95,148,1
77,76,25,2
205,215,255,1
20,17,3,2
67,123,188,1
52,53,13,2
58,93,137,1
57,149,132,2
127,126,100,2
42,102,156,1
35,34,8,2
179,176,131,2
115,114,56,2
2,77,233,2
197,197,157,2
58,99,148,1
122,125,180,1
233,217,210,2
2,136,106,2
128,162,215,1
98,130,189,1
164,178,230,1
179,176,132,2
166,181,230,1
155,157,111,2
108,9,109,2
173,172,122,2
62,84,219,2
141,181,246,1
172,178,129,2
3,3,3,2
100,95,156,2
181,181,135,2
157,177,232,1
164,178,227,1
60,80,145,1
126,126,126,2
185,184,140,2
96,143,224,1
124,156,222,1
148,172,232,1
52,106,167,1
530,56,24,2
138,179,228,1
123,167,126,2
128,130,184,1
147,165,230,1
183,180,135,2
200,210,250,1
139,182,245,1
13,9,8,2
160,158,118,2
104,155,225,1
138,139,89,2
6,1,3,2
64,63,53,2
173,212,167,2
191,189,148,2
50,49,11,2
163,163,115,2
60,60,20,2
178,175,131,2
171,173,127,2
60,64,23,2
91,143,220,1
137,20,137,2
181,178,134,2
91,140,214,1
172,171,121,2
53,54,20,2
162,132,115,2
210,9,237,2
52,106,166,1
45,89,136,1
145,185,250,1
183,182,138,2
167,163,114,2
168,185,228,1
63,122,184,1
42,115,99,2
125,163,227,1
103,117,170,1
172,186,239,1
84,84,36,2
121,160,212,1
151,154,105,2
117,119,173,1
122,160,225,1
163,177,229,1
182,179,135,2
115,153,211,1
198,197,159,2
190,190,150,2
66,102,150,1
231,160,96,2
91,137,215,1
171,170,120,2
181,178,134,2
56,61,22,2
178,178,132,2
147,186,248,1
125,129,93,2
188,189,147,2
57,58,19,2
204,203,169,2
108,150,215,1
182,185,140,2
201,199,158,2
194,77,46,2
157,159,113,2
91,92,42,2
55,132,118,2
49,100,163,1
105,154,222,1
103,126,158,1
40,42,13,2
47,49,13,2
0,1,0,2
66,67,23,2
191,189,149,2
198,198,158,2
133,175,246,1
128,129,85,2
51,98,152,1
132,172,224,1
117,154,214,1
69,70,26,2
192,190,142,2
92,147,220,1
164,163,113,2
179,176,131,2
127,130,185,1
51,51,15,2
116,92,74,2
150,189,251,1
143,168,230,1
141,161,226,1
50,91,140,1
201,197,162,2
204,215,253,1
68,70,24,2
37,37,7,2
91,69,248,2
77,29,249,2
51,71,129,1
29,72,51,2
165,187,239,1
152,180,240,1
39,38,10,2
52,120,185,1
3,1,1,2
130,161,230,1
175,129,171,2
73,35,249,2
149,148,90,2
163,163,115,2
112,111,55,2
107,156,218,1
201,200,162,2
198,196,162,2
121,133,203,1
93,140,221,1
151,169,234,1
198,198,158,2
156,187,248,1
113,150,212,1
74,84,124,1
63,68,23,2
107,91,108,2
136,139,90,2
138,140,194,1
45,91,138,1
94,141,215,1
253,133,111,2
164,162,114,2
78,84,125,1
171,185,237,1
135,137,91,2
128,131,85,2
56,57,23,2
182,177,138,2
114,158,217,1
171,170,119,2
143,144,94,2
242,247,250,2
71,86,125,1
60,95,145,1
179,178,134,2
54,105,168,1
195,206,250,1
182,179,134,2
178,175,131,2
137,165,230,1
187,187,141,2
146,184,232,1
199,210,254,1
150,149,98,2
5,0,0,2
140,138,84,2
180,180,134,2
88,117,184,1
181,180,136,2
105,143,207,1
37,37,7,2
144,144,90,2
34,33,5,2
54,100,154,1
199,197,162,2
95,111,158,1
145,162,213,1
119,151,210,1
140,140,194,1
73,71,53,2
53,57,22,2
114,123,120,2
146,187,250,1
42,41,3,2
15,13,2,2
52,123,197,1
76,79,29,2
89,92,53,2
172,171,120,2
173,188,234,1
163,162,112,2
151,168,219,1
171,170,119,2
0,0,255,2
172,133,27,2
195,194,156,2
201,200,162,2
152,155,109,2
147,146,96,2
151,165,223,1
198,198,158,2
56,60,24,2
157,194,255,1
89,136,220,1
102,140,204,1
202,208,255,1
153,157,121,2
112,147,210,1
146,166,231,1
125,158,227,1
136,139,90,2
167,182,228,1
4,2,1,2
127,133,86,2
32,33,7,2
124,75,91,2
152,153,103,2
124,158,228,1
221,204,195,2
46,102,151,1
198,198,158,2
101,149,221,1
12,12,12,2
162,178,224,1
4,0,72,2
148,186,255,1
198,198,158,2
140,143,98,2
145,162,229,1
91,23,24,2
168,168,120,2
200,150,208,2
142,166,232,1
144,167,229,1
163,167,132,2
80,88,128,1
181,181,133,2
126,159,228,1
180,177,132,2
81,113,188,1
118,120,174,1
168,181,233,1
136,139,90,2
147,186,254,1
141,181,246,1
128,162,216,1
50,105,150,1
98,104,157,1
97,147,223,1
131,131,131,2
28,144,25,2
173,188,237,1
139,173,219,1
202,214,255,1
82,88,129,1
156,193,227,1
97,151,222,1
201,200,162,2
135,177,242,1
89,95,148,1
139,179,244,1
144,156,220,1
15,14,0,2
108,106,58,2
145,163,228,1
139,176,226,1
126,165,217,1
79,79,33,2
219,207,197,2
148,185,229,1
168,163,114,2
191,189,148,2
55,112,174,1
84,82,28,2
169,170,126,2
50,52,16,2
196,194,159,2
121,157,221,1
9,4,5,2
170,184,237,1
57,124,185,1
141,144,95,2
198,198,158,2
201,199,164,2
84,93,131,1
94,145,218,1
178,176,128,2
108,97,107,2
151,189,253,1
172,168,119,2
83,118,191,1
7,7,7,2
99,146,220,1
58,108,166,1
153,191,255,1
118,117,59,2
165,170,231,1
82,56,210,2
76,79,30,2
143,146,97,2
102,139,213,1
179,176,132,2
187,184,146,2
116,154,208,1
151,193,252,1
25,29,18,2
56,97,146,1
37,67,42,2
15,14,10,2
177,178,128,2
116,154,219,1
197,207,255,1
130,169,221,1
152,190,254,1
123,124,74,2
10,36,12,2
55,120,188,1
135,179,242,1
160,168,251,2
55,93,141,1
59,63,22,2
68,70,24,2
112,152,211,1
60,110,170,1
178,175,130,2
170,174,122,2
148,190,255,1
54,94,142,1
179,177,129,2
195,179,167,2
175,174,124,2
154,184,231,1
150,192,255,1
141,181,246,1
160,164,122,2
183,173,133,2
144,183,251,1
149,167,226,1
37,38,6,2
112,145,201,1
61,103,156,1
140,185,246,1
198,195,197,2
46,99,162,1
28,27,7,2
113,149,203,1
128,159,214,1
255,254,255,2
180,178,137,2
182,182,134,2
65,91,137,1
201,198,170,2
170,184,237,1
98,135,191,1
121,156,220,1
28,28,14,2
122,147,197,1
201,200,162,2
47,87,135,1
161,157,109,2
192,191,153,2
124,156,221,1
202,200,199,2
126,128,182,1
64,124,183,1
61,126,194,1
90,134,218,1
49,92,141,1
131,132,92,2
169,181,229,1
4,159,31,2
44,104,170,1
140,139,81,2
52,78,214,2
165,179,232,1
54,57,25,2
112,144,210,1
172,172,126,2
90,87,36,2
80,180,235,2
4,0,72,2
91,140,216,1
47,97,150,1
62,60,19,2
58,61,22,2
191,190,152,2
180,177,133,2
91,139,203,1
165,163,115,2
126,166,218,1
183,183,137,2
115,159,212,1
177,174,129,2
68,82,141,1
73,82,126,1
148,149,99,2
72,75,29,2
0,128,0,2
101,146,203,1
62,131,200,1
178,175,131,2
116,148,214,1
163,197,255,1
147,183,253,1
41,98,153,1
140,162,227,1
163,162,112,2
234,192,157,2
255,255,246,2
184,201,244,1
140,167,231,1
99,130,193,1
0,0,184,2
95,138,219,1
124,159,215,1
158,176,223,1
132,129,184,1
107,145,209,1
70,66,25,2
182,179,135,2
164,162,114,2
148,147,97,2
138,141,91,2
182,180,132,2
53,57,22,2
135,136,97,2
124,169,230,1
174,173,123,2
131,170,222,1
83,52,213,2
132,134,88,2
141,141,93,2
109,112,62,2
114,143,217,1
146,164,229,1
79,87,127,1
155,154,98,2
179,178,134,2
207,219,255,1
40,44,25,2
5,5,0,2
186,185,141,2
162,159,114,2
136,134,80,2
130,162,228,1
201,200,162,2
149,96,217,2
166,182,235,1
168,165,114,2
104,107,162,1
141,140,84,2
5,3,176,2
164,163,113,2
16,14,3,2
145,146,96,2
200,198,163,2
107,210,205,2
69,71,25,2
200,210,250,1
159,196,254,1
246,126,96,2
191,190,152,2
181,178,134,2
172,171,121,2
138,179,228,1
84,31,18,2
145,156,208,2
135,139,87,2
242,248,253,2
1,186,0,2
64,98,144,1
63,65,23,2
83,180,236,2
136,177,226,1
79,81,29,2
52,93,142,1
132,135,89,2
102,69,36,2
147,158,218,1
88,28,12,2
143,171,236,1
169,169,121,2
92,91,40,2
110,109,53,2
61,84,132,1
57,119,189,1
201,200,162,2
205,204,170,2
138,141,85,2
255,253,255,2
32,33,7,2
217,215,197,2
159,157,103,2
183,183,137,2
57,121,186,1
166,180,232,1
178,177,133,2
97,151,255,2
149,147,207,2
119,154,218,1
145,186,248,1
145,143,89,2
62,67,22,2
163,161,113,2
248,250,250,2
147,161,219,1
124,155,224,1
79,107,141,1
82,82,34,2
79,84,129,1
155,195,254,1
53,94,143,1
159,176,219,1
80,90,130,1
45,251,246,2
50,102,148,1
150,192,255,1
114,109,64,2
122,157,221,1
69,71,25,2
178,175,131,2
5,2,0,2
118,151,220,1
180,177,133,2
163,177,173,2
162,162,114,2
245,250,253,2
75,87,123,1
143,165,230,1
201,211,255,1
78,87,131,1
116,157,212,1
169,189,244,1
4,7,5,2
41,90,152,1
55,122,191,1
198,211,255,1
67,110,167,1
167,163,114,2
54,107,164,1
153,179,225,1
140,143,94,2
59,59,41,2
3,1,0,2
105,143,201,1
138,175,219,1
172,171,121,2
152,190,254,1
102,147,204,1
162,159,108,2
61,65,24,2
180,177,132,2
152,151,100,2
36,37,11,2
119,123,87,2
107,149,214,1
122,153,222,1
180,177,133,2
161,196,230,1
173,171,123,2
122,166,219,1
32,33,7,2
52,121,194,1
117,152,220,1
147,187,252,1
79,118,193,1
154,156,110,2
83,81,40,2
147,142,197,1
139,138,87,2
179,177,129,2
40,40,34,2
58,75,132,1
35,221,255,2
155,193,255,1
55,80,144,1
132,132,132,2
49,46,42,2
66,65,21,2
53,90,140,1
175,192,235,1
164,163,113,2
62,127,125,2
135,135,189,1
95,132,200,1
164,185,247,1
193,191,150,2
113,112,54,2
80,81,31,2
9,8,0,2
23,52,29,2
53,55,26,2
55,56,16,2
198,198,158,2
148,184,254,1
81,90,128,1
90,136,214,1
149,187,252,1
135,132,248,2
169,183,236,1
16,15,1,2
157,194,255,1
16,9,236,2
78,54,208,2
178,176,128,2
161,161,113,2
123,122,88,2
53,54,20,2
161,184,240,1
83,120,188,1
179,118,192,2
143,180,254,1
119,171,231,1
59,124,193,1
75,83,123,1
163,162,112,2
199,197,162,2
52,111,173,1
146,159,221,1
202,201,163,2
135,170,226,1
54,55,15,2
182,179,135,2
178,143,140,2
105,106,74,2
164,161,110,2
180,196,239,1
54,96,143,1
3,2,0,2
168,182,234,1
44,68,126,1
55,56,22,2
199,197,162,2
83,55,215,2
174,172,124,2
167,165,117,2
92,10,0,2
163,161,113,2
119,160,209,1
55,56,22,2
132,147,179,1
117,158,220,1
51,98,154,1
176,174,126,2
135,170,220,1
97,137,190,1
145,187,252,1
170,186,233,1
146,186,245,1
175,173,125,2
81,82,40,2
143,160,223,1
226,221,222,2
131,132,92,2
66,125,187,1
106,105,61,2
112,153,215,1
35,34,8,2
195,193,153,2
32,33,7,2
180,177,132,2
117,156,211,1
163,166,121,2
181,176,137,2
185,182,137,2
162,182,223,1
201,199,164,2
58,96,144,1
170,186,233,1
136,169,218,1
198,196,161,2
13,12,8,2
65,64,26,2
39,85,143,1
150,190,255,1
179,169,122,2
36,37,11,2
79,81,29,2
179,176,131,2
136,139,89,2
98,157,227,1
106,106,106,2
66,136,123,2
151,193,252,1
150,168,231,1
123,154,103,2
65,114,170,1
186,187,148,2
172,187,236,1
132,169,221,1
53,56,24,2
146,166,231,1
201,200,162,2
161,159,105,2
104,84,97,2
118,154,224,1
197,196,158,2
126,155,206,1
124,160,214,1
157,160,115,2
80,89,127,1
145,165,230,1
53,104,167,1
136,162,228,1
115,148,217,1
6,186,255,2
56,58,22,2
173,143,94,2
199,197,162,2
197,196,158,2
149,147,93,2
89,133,217,1
178,175,130,2
53,108,165,1
169,185,232,1
76,79,33,2
172,168,120,2
182,180,132,2
105,208,203,2
173,171,123,2
65,127,191,1
54,102,166,1
146,119,99,2
151,96,219,2
125,157,223,1
86,54,213,2
150,183,246,1
17,8,189,2
199,199,159,2
61,98,148,1
130,130,130,2
181,179,138,2
83,92,130,1
165,161,113,2
135,139,90,2
153,151,97,2
101,148,229,1
144,164,229,1
177,174,129,2
46,105,161,1
101,144,195,1
74,82,122,1
131,160,227,1
33,32,4,2
105,105,57,2
76,99,149,1
159,196,254,1
163,161,107,2
184,181,136,2
205,204,170,2
114,179,110,2
204,202,168,2
102,141,203,1
205,204,170,2
152,155,106,2
126,129,83,2
111,150,212,1
149,193,254,1
154,193,255,1
34,33,5,2
164,163,113,2
76,84,124,1
123,129,82,2
93,142,216,1
202,212,252,1
208,191,172,2
138,138,92,2
138,179,228,1
182,180,132,2
163,162,112,2
198,209,253,1
149,165,231,1
107,144,200,1
184,181,136,2
153,192,254,1
173,172,122,2
185,183,135,2
66,133,196,1
198,196,162,2
50,100,146,1
139,139,85,2
119,151,210,1
112,153,215,1
58,118,184,1
181,180,136,2
162,166,131,2
134,175,230,1
49,88,140,1
55,56,22,2
173,172,122,2
173,173,127,2
162,166,131,2
116,115,57,2
161,165,130,2
185,186,144,2
199,197,162,2
133,134,92,2
144,143,85,2
148,181,226,1
60,121,185,1
162,164,112,2
175,191,234,1
153,152,96,2
60,64,22,2
112,155,218,1
173,155,126,2
175,191,237,1
32,33,7,2
112,151,220,1
122,125,180,1
94,100,153,1
122,226,255,2
97,136,191,1
83,130,212,1
166,162,114,2
137,179,226,1
76,108,181,1
82,81,55,2
126,128,86,2
199,197,163,2
142,179,231,1
5,191,1,2
133,174,223,1
137,172,216,1
54,103,159,1
136,145,209,1
161,187,241,1
179,177,129,2
121,167,225,1
15,6,187,2
62,62,22,2
178,175,130,2
55,40,222,2
185,182,137,2
100,146,223,1
131,135,100,2
24,136,26,2
182,176,131,2
2,3,0,2
56,111,172,1
199,197,162,2
98,135,185,1
90,90,36,2
199,197,162,2
124,174,40,2
83,85,65,2
180,177,133,2
51,92,141,1
63,110,164,1
152,189,227,1
182,179,135,2
147,163,229,1
135,142,91,2
99,145,222,1
63,64,24,2
47,99,152,1
3,7,1,2
111,163,233,1
67,122,191,1
66,132,203,1
141,140,82,2
185,184,140,2
64,62,21,2
44,90,71,2
1,2,0,2
126,161,225,1
97,145,227,1
148,187,249,1
185,180,141,2
94,98,151,1
138,174,220,1
108,136,213,1
163,162,112,2
167,163,114,2
197,39,169,2
167,182,231,1
201,200,162,2
119,165,212,1
54,95,144,1
179,179,133,2
178,176,128,2
17,16,12,2
135,121,133,2
188,189,150,2
91,133,210,1
155,175,230,1
180,179,135,2
66,124,183,1
205,204,170,2
165,165,129,2
149,152,103,2
140,138,84,2
120,157,219,1
162,162,114,2
166,166,118,2
149,149,101,2
99,105,158,1
109,115,168,1
180,178,130,2
162,160,112,2
205,204,170,2
62,62,22,2
148,94,215,2
153,190,224,1
97,143,221,1
178,176,128,2
123,147,171,1
53,56,17,2
116,119,174,1
115,120,175,1
198,198,158,2
0,135,103,2
91,30,20,2
81,117,187,1
86,95,133,1
165,176,233,1
152,190,254,1
144,179,252,1
50,95,146,1
175,176,132,2
180,179,135,2
54,111,172,1
87,53,207,2
128,255,0,2
152,172,23,2
152,151,100,2
177,175,127,2
50,105,150,1
117,130,198,1
181,178,133,2
171,170,119,2
179,176,132,2
138,139,89,2
109,106,55,2
47,48,9,2
98,97,46,2
85,85,37,2
183,180,136,2
106,141,204,1
140,180,228,1
166,180,228,1
206,216,255,1
121,152,221,1
133,163,228,1
200,198,163,2
150,149,98,2
156,159,104,2
55,114,186,1
148,91,214,2
128,168,220,1
58,123,191,1
201,200,162,2
74,78,36,2
130,161,230,1
124,156,221,1
111,148,210,1
185,184,140,2
127,130,81,2
99,91,156,2
85,55,8,2
146,187,250,1
135,157,229,1
35,95,147,1
123,161,215,1
177,174,129,2
117,117,69,2
195,193,162,2
180,178,137,2
113,148,211,1
90,92,40,2
142,142,96,2
48,68,123,1
160,195,251,1
152,190,255,1
92,137,218,1
144,160,227,1
174,170,121,2
180,178,130,2
172,186,234,1
175,172,127,2
171,169,121,2
90,127,195,1
102,142,207,1
254,255,251,2
45,99,159,1
174,174,128,2
233,111,75,2
38,91,142,1
195,193,163,2
166,164,116,2
68,62,39,2
135,135,189,1
0,0,172,2
43,30,176,2
140,166,226,1
54,107,170,1
181,180,136,2
141,159,220,1
202,201,163,2
44,95,158,1
157,160,128,2
189,171,160,2
167,184,227,1
41,39,8,2
149,187,251,1
69,93,135,1
13,12,2,2
50,76,123,1
41,20,176,2
132,179,235,2
137,176,221,1
100,154,225,1
105,153,225,1
156,177,238,1
138,174,220,1
143,143,119,2
15,14,0,2
168,164,123,2
129,129,129,2
164,164,128,2
163,178,97,2
134,162,227,1
16,14,3,2
166,165,114,2
117,116,58,2
37,89,149,1
99,146,220,1
188,186,146,2
149,166,229,1
169,187,228,1
202,201,163,2
164,163,113,2
93,142,222,1
132,171,223,1
147,149,159,2
143,142,86,2
35,34,6,2
40,41,9,2
63,68,23,2
59,57,26,2
114,117,172,1
153,150,99,2
111,148,206,1
198,198,158,2
205,204,170,2
153,157,121,2
0,3,0,2
174,190,243,1
163,188,250,1
106,109,59,2
152,190,254,1
123,156,225,1
172,188,234,1
91,136,204,1
96,139,212,1
126,125,67,2
99,102,53,2
128,161,217,1
71,81,121,1
155,163,223,1
175,173,125,2
54,98,145,1
99,145,223,1
200,198,158,2
118,156,220,1
156,87,72,2
73,83,123,1
95,99,152,1
196,211,255,1
117,148,209,1
59,106,160,1
129,162,211,1
250,218,212,2
63,124,190,1
140,140,86,2
68,70,28,2
62,62,26,2
